"anio","region","cod_prov","provincia","cod_cant_d","canton","valor_agregado","impuestos","pib","exportaciones","importaciones","cod_cant"
2019,"Brunca","6","Puntarenas",603,"Buenos Aires",111310.985255716,2484.12457516922,113795.109830885,144.835416454693,482.061119771684,"03"
2019,"Pacífico Central","6","Puntarenas",604,"Montes de Oro",61797.4926741957,4512.71772284461,66310.2103970403,905.146199387567,3064.00012735224,"04"
2019,"Brunca","6","Puntarenas",605,"Osa",126102.46482078,7839.30938365261,133941.774204432,2426.08379321844,844.570752631477,"05"
2019,"Pacífico Central","6","Puntarenas",606,"Quepos",180407.706236905,15025.9472466863,195433.653483592,17555.2417373636,5856.40541900798,"06"
2019,"Brunca","6","Puntarenas",607,"Golfito",164607.291934743,10318.9275658133,174926.219500556,281.491626975,22881.5027960299,"07"
2019,"Brunca","6","Puntarenas",608,"Coto Brus",110566.048532338,4151.19909447635,114717.247626814,235.588702390965,1085.71894227577,"08"
2019,"Pacífico Central","6","Puntarenas",609,"Parrita",70236.7533302068,3095.49555906252,73332.2488892694,14225.6118273709,1126.53560344412,"09"
2019,"Brunca","6","Puntarenas",610,"Corredores",157783.029396973,4934.00115813503,162717.030555108,87939.3023554216,10787.2298172769,"10"
2019,"Pacífico Central","6","Puntarenas",611,"Garabito",161245.351003964,15770.8189510199,177016.169954984,1449.88395601927,5565.30366861687,"11"
2019,"Huetar Caribe","7","Limón",701,"Limón",466223.854766984,23367.0796847433,489590.934451727,123904.501256505,1163511.49646974,"01"
2019,"Huetar Caribe","7","Limón",702,"Pococí",702425.331546969,50324.8709122019,752750.202459171,439339.7271357,120043.620849398,"02"
2019,"Huetar Caribe","7","Limón",703,"Siquirres",330372.379354282,19847.5921754612,350219.971529743,59942.9498714572,70138.4127524054,"03"
2019,"Huetar Caribe","7","Limón",704,"Talamanca",133983.215728939,8389.43528766664,142372.651016606,2643.98979554261,327.776468866653,"04"
2019,"Huetar Caribe","7","Limón",705,"Matina",186204.92990974,6442.40864544063,192647.338555181,27512.8328933083,6034.14211609719,"05"
2019,"Huetar Caribe","7","Limón",706,"Guácimo",155082.347150426,5181.52786546831,160263.875015894,58030.8000333649,23106.8833816702,"06"
2020,"Central","1","San José",101,"San José",6392321.72364166,533576.826809963,6925898.55045163,879817.966491334,3131747.12315551,"01"
2020,"Central","1","San José",102,"Escazú",1249190.26832058,83857.0130556909,1333047.28137627,17994.245780683,51073.7790763107,"02"
2020,"Central","1","San José",103,"Desamparados",787227.708828873,73711.5097197384,860939.218548612,35827.5127621282,238579.780577191,"03"
2020,"Central","1","San José",104,"Puriscal",105685.439843566,12163.6013992401,117849.041242806,735.256688803562,5446.69777040747,"04"
